Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,United States,USA,50.1720008850098,49.9869995117188,49.9129981994629,50.064998626709,50.0250015258789,50.0099983215332,50.1669998168945,50.439998626709,50.2029991149902,50.8079986572266,49.015998840332,50.4879989624023
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,Zimbabwe,ZWE,73.3669967651367,73.1119995117188,74.0080032348633,74.9010009765625,75.7949981689453,75.8980026245117,75.9570007324219,75.875,75.6729965209961,75.3199996948242,74.0490036010742,74.7170028686523
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,India,IND,35.7019996643066,34.132999420166,32.5909996032715,31.5200004577637,30.4650001525879,29.4270000457764,28.4090003967285,27.4109992980957,26.431999206543,26.5230007171631,23.246000289917,23.6840000152588
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 12/22/2022,,,,,,,,,,,,,,,
